"Age","Gender","Country","Membership_Years","Login_Frequency","Cart_Abandonment_Rate","Total_Purchases","Days_Since_Last_Purchase","Returns_Rate","Product_Reviews_Written","Social_Media_Engagement_Score","Mobile_App_Usage","Credit_Balance","Churned"
59,"Male","Australia",3.7,18,20.8,18,15,11.5,8,36,31.2,1963,"1"
26,"Female","Germany",0.4,27,24.9,27.3,33,8.6,2,60.8,18.6,3535,"0"
35,"Female","UK",5.1,2,43.3,13,7,7.9,1,15.4,25.9,939,"0"
23,"Female","India",4.3,1,66.1,2.6,31,2.5,2,27.6,16.1,1487,"1"
21,"Male","Australia",2.2,9,37.8,17,43,3.8,2,51.6,28.9,2562,"1"
56,"Male","Germany",0.9,28,34.7,15,13,9.9,6,41.8,25.5,3611,"0"
40,"Female","Canada",1.3,0,69.1,11.7,21,4.6,2,0,10.9,2088,"1"
39,"Male","UK",6.5,3,88.8,3.9,47,0.1,0,0,15.3,0,"0"
18,"Female","UK",3.2,5,53.2,12,10,7.5,3,33.8,26.9,2054,"0"
42,"Female","USA",3.3,17,48.3,14,24,1,4,55.8,22.2,3111,"0"
51,"Female","India",2.2,15,59.3,11,21,10.8,5,44,30.2,2518,"0"
51,"Female","USA",1.7,5,67.9,3.9,1,15.8,0,18.6,10.6,0,"0"
46,"Female","India",1.9,11,72.1,10,12,9.3,1,27.6,21.9,2723,"0"
24,"Male","UK",2.4,13,21.2,14,39,3,2,40.8,27.6,1965,"0"
41,"Male","Australia",1.8,8,63.5,15,21,7.6,2,22,19.8,92,"0"
46,"Female","USA",2.8,11,64.8,10.4,33,0.3,3,9.4,20.4,1412,"0"
18,"Female","Japan",4.9,8,58,11.7,18,0.2,0,4.2,13.3,0,"0"
24,"Male","India",0.8,1,66.5,9,58,3.5,2,18.8,17.6,1911,"1"
48,"Female","Germany",2.3,0,60.6,11,24,0.5,3,24,15.7,1740,"0"
48,"Male","India",0.5,9,44.1,13,19,5,3,19.9,23.7,2407,"0"
19,"Female","Germany",5.8,7,57.1,9,39,5.8,1,47.1,18.6,246,"0"
47,"Female","USA",3.6,10,48.7,11,46,11.9,2,23.4,14.8,2243,"0"
39,"Male","USA",5.1,7,49.2,18,37,3.7,1,7.1,14.9,1070,"0"
47,"Female","USA",0.7,25,41.7,31,33,3.8,5,65.4,41.6,3960,"0"
30,"Male","USA",1.4,20,49.6,15,6,5.2,0,40.4,7.5,0,"0"
45,"Male","UK",3.1,8,43.5,15,22,1.9,4,6.8,18.6,1896,"0"
48,"Male","Japan",2.9,19,23.6,20,0,7.2,2,55.3,31.9,4216,"0"
33,"Female","UK",3.2,19,39.4,22.1,31,8.9,6,73.5,18.6,5561,"0"
38,"Female","Japan",2.1,18,39,20,21,2.3,3,5.3,33.1,1838,"1"
30,"Female","India",2.2,0,76.9,5,25,9,0,27.6,20.5,1896,"1"
57,"Female","USA",1.5,8,64,13,6,10.5,3,9.2,18.6,1510,"0"
36,"Male","India",1.7,8,36.5,11.7,9,2.2,6,49.1,16.2,1896,"0"
26,"Female","USA",3.7,16,32.6,17,12,4,2,59.9,28.3,1896,"0"
38,"Male","USA",1.7,3,95.7,3.9,19,6.7,0,0,18.6,2000,"1"
39,"Male","USA",3.2,21,60,16,15,1.5,10,55.9,22.3,3549,"0"
47,"Female","Canada",3,14,44.7,19.5,62,5.5,1,21,14.2,797,"0"
21,"Male","Germany",0.7,15,70.9,12,8,10.6,3,40.2,24.4,2296,"1"
60,"Female","USA",2.2,8,58.7,17,26,5.4,3,46.4,30.1,1896,"0"
41,"Male","Germany",2.4,9,67.2,9,16,4.3,1,19.7,18.6,1504,"0"
43,"Male","USA",1.4,11,39.1,12,24,11.6,2,25.6,8.6,1204,"0"
36,"Female","Germany",1.8,25,34.3,20,2,0.2,5,47.1,18.6,3555,"1"
38,"Male","USA",1.5,9,29.7,24,20,13.8,3,36.2,31.7,1917,"0"
38,"Female","USA",1,1,90.9,15,4,2.4,0,10,2.8,1488,"1"
50,"Male","India",2,18,44.9,12,21,6.8,2,34.6,18.6,3498,"0"
37,"Female","Japan",8.1,1,74.3,6.5,10,11.6,1,12.1,5.4,668,"1"
47,"Male","USA",1.4,4,85.7,13,10,3.8,4,0,13.2,1034,"0"
32,"Male","Australia",8.7,9,61.3,11,101,11.6,2,28.8,7.2,1352,"1"
40,"Male","Canada",6.3,14,58.7,10,8,0.2,5,27.6,13.3,2359,"0"
28,"Male","India",4.4,13,61.3,5,17,20.3,1,2,9.6,1642,"1"
52,"Female","UK",2.4,10,57.9,11,4,1.1,3,12.7,23.2,1291,"0"
27,"Female","Germany",3.5,14,70.3,15,62,3,4,42.7,13.6,1896,"0"
34,"Male","USA",3.1,1,67.2,5,22,5.7,3,0,8,740,"0"
34,"Male","USA",0.7,30,32.8,20,22,1.9,5,27.6,32,3581,"0"
33,"Male","UK",0.5,26,39.9,17,94,4,7,27.6,18.6,4409,"0"
46,"Male","UK",1.9,8,51.6,22.1,22,4.2,2,64.7,34,4029,"0"
34,"Male","France",6.5,18,49.6,22.1,28,4,6,47.1,32.1,2015,"0"
54,"Male","USA",2.4,17,59.7,15,53,5.4,2,27.6,28.9,2968,"1"
28,"Female","USA",2.1,9,68.9,15.6,16,6.4,2,37.6,21.7,2080,"0"
40,"Female","USA",3.6,7,47.8,14.3,30,2.4,3,27.6,27.3,1383,"0"
28,"Female","USA",1.9,19,52.1,15,16,4.6,3,59.4,18.6,2562,"0"
43,"Female","USA",3.9,7,50.9,10,2,2.3,1,29.6,18.6,2076,"0"
37,"Male","India",1.5,9,78,9,15,5.4,2,22.1,12.9,2891,"0"
36,"Male","Germany",2.6,11,61.9,17,7,5.8,5,20.9,25.9,1785,"0"
52,"Male","USA",2,12,64.6,12,39,6.8,3,23.1,17.9,1353,"0"
30,"Female","USA",1.9,13,58.1,4,21,5.4,0,0,15.8,444,"0"
45,"Female","France",3.5,14,47,14.3,9,5.4,4,15.5,19.9,1111,"0"
28,"Female","Germany",1.3,19,44.6,15,8,6.8,8,23.4,25.6,1896,"0"
39,"Female","Canada",1.2,11,70.8,21,12,4.6,2,46.6,20.2,0,"0"
23,"Female","Australia",1.5,13,37.4,27.3,51,4.6,4,64.9,37.7,2710,"0"
30,"Other","Canada",0.7,13,62.8,6,13,0.3,2,34.3,15.9,98,"0"
37,"Female","UK",0.6,0,43.5,9.1,43,0.4,3,26.9,16.7,1091,"0"
59,"Female","France",3.5,7,62.9,10.4,51,16.1,2,46.2,14.1,847,"0"
39,"Female","USA",0.2,16,67.8,17,62,10.5,3,43.8,18.6,1547,"0"
57,"Male","Canada",2.2,4,49.4,20.8,16,3,5,33.8,19.6,2706,"0"
40,"Female","USA",1.4,1,71.4,10,29,1.9,2,0,18.6,219,"0"
33,"Male","UK",0.6,4,72.6,4,29,10.8,1,14.9,0,255,"0"
56,"Female","USA",4.5,15,45,12,71,1,4,54.7,12.9,2017,"0"
43,"Male","Japan",3.3,19,35.1,16,17,3,4,27.6,32.9,1896,"0"
30,"Female","USA",2.5,17,54.3,11,11,0.2,1,27.6,12.7,3240,"0"
43,"Male","USA",1.2,14,62.7,11.7,77,17.5,3,15.1,18.6,94,"0"
34,"Male","USA",3,2,75.5,8,16,11.2,0,1.8,4.3,1067,"1"
18,"Male","USA",1.9,3,55.4,10,42,1.2,6,20.4,24.3,2128,"0"
49,"Female","UK",3.1,4,64.4,5,6,4.2,0,0,10.3,0,"0"
51,"Female","USA",7.8,4,51.6,19.5,21,3.4,1,39.2,19.8,1114,"1"
60,"Female","UK",0.6,18,56.9,19,108,9.4,9,60.9,29.2,2998,"0"
43,"Male","USA",3.1,26,35.1,22.1,1,5.4,4,65.6,25,2788,"0"
35,"Male","Japan",2.8,8,49.1,16,7,0.9,4,33.7,20.3,2059,"1"
48,"Female","USA",0.4,23,50.6,35.1,75,7.2,2,50.4,24.8,3639,"1"
48,"Female","USA",1.8,10,67.1,17,24,1.5,0,34.3,9.3,3051,"0"
57,"Female","UK",4.1,18,35.8,18,63,5.4,3,43,42.7,3789,"0"
37,"Male","Germany",1.6,20,41.5,22,2,5.4,2,19.8,30.5,2373,"1"
36,"Female","Japan",2.9,0,85.2,3,66,5.4,1,0,4.1,232,"1"
29,"Male","Canada",0.6,0,59.5,5.2,73,1.5,1,0,18.6,2069,"1"
44,"Female","Japan",9.2,11,34.2,16,9,4.9,7,44.5,34.3,4051,"1"
19,"Male","USA",4,10,55.7,18,13,4.8,7,29.9,18.6,3058,"0"
47,"Female","India",1.8,14,40,20.8,24,0.9,6,14.3,34.1,3094,"0"
45,"Female","UK",3.6,24,42.2,19.5,8,3.6,5,76,25.8,2646,"0"
38,"Female","Germany",2.3,19,36.8,17,14,10.5,7,49.3,37.3,3978,"0"
39,"Male","USA",3,7,80.9,12,52,1.9,0,8.7,14.9,937,"1"
56,"Female","USA",4.7,6,73.7,11.7,45,2.6,1,31.6,22.8,1353,"0"
48,"Female","USA",2.3,14,53.4,18,2,8.5,0,19.8,18.6,4139,"0"
30,"Female","USA",7,12,50.3,11.7,25,12.4,3,29.1,11.1,1896,"0"
30,"Female","UK",7.1,14,66.8,11,96,5.4,0,14.3,0.3,1768,"1"
27,"Female","UK",7.4,22,47.8,21,15,7,3,49.6,35,2163,"0"
44,"Male","Japan",1.5,20,70.1,12,105,16.9,4,35.5,18.6,1896,"1"
25,"Male","USA",5.6,20,21.2,18,11,15.3,10,27.3,28.1,2972,"0"
51,"Male","UK",3.9,8,65.2,12,27,0.7,2,8.2,12.6,1817,"0"
53,"Female","USA",1.4,4,81.3,4,15,2.4,1,17,8.7,1126,"1"
27,"Male","USA",1.6,11,70.9,13,8,5.4,4,11.3,13.9,2744,"1"
35,"Male","USA",4.6,5,66.1,12,15,5.3,2,27.6,14.9,2351,"0"
38,"Female","Australia",5.4,11,44.6,13,134,10.5,4,48,25.7,644,"0"
48,"Female","UK",2.9,9,64.5,13,125,3.1,3,28.9,22.2,2615,"1"
57,"Female","France",2.5,20,54.1,18,18,0.2,4,51.2,30.6,1896,"0"
18,"Male","UK",7.1,19,51.2,23,25,4.6,5,55.1,40.9,2771,"0"
34,"Female","India",8.6,27,24.7,20,24,3.6,6,27.6,28.3,4540,"0"
34,"Female","Germany",3,2,59.1,9,33,10,0,28.8,5.8,2321,"1"
21,"Male","USA",5.4,20,41.5,18,19,5.4,7,34.1,40.6,2910,"0"
32,"Female","Australia",4.3,16,53.1,11,49,15,4,48.3,26.7,0,"0"
43,"Male","USA",0.2,15,43.6,22.1,117,2.8,4,20.7,15.9,1945,"0"
34,"Male","USA",2.1,11,67,10.4,2,6.8,5,27.6,18.8,1036,"0"
19,"Male","Canada",0.9,15,53.4,15,4,7,2,17.1,28.5,271,"1"
72,"Female","France",0.6,10,50.4,13,55,2.8,3,28.3,24,3401,"0"
41,"Female","Canada",8.8,12,78.8,17,25,13,2,14.1,9.7,2238,"0"
39,"Female","Germany",1,29,24.1,20,13,8.6,6,94.8,36.3,4105,"0"
24,"Female","USA",6,11,52.3,7,21,0.2,4,3.1,17.8,1026,"1"
41,"Female","Australia",1.7,5,87.7,5,81,1.6,2,18.5,18.6,564,"1"
36,"Male","Japan",5,3,57.8,7,40,1,0,12.4,18.6,1896,"0"
18,"Male","UK",0.5,30,26.3,18,54,3.6,8,43.4,42.2,3325,"0"
25,"Male","UK",3.1,17,40.5,19,110,14.2,2,46.2,27.4,1896,"0"
47,"Male","UK",0.1,14,28.8,14.3,19,14.4,1,44.6,18.1,1539,"0"
61,"Female","USA",2.1,0,70.8,4,33,1.4,2,14.2,14.9,667,"0"
42,"Female","USA",1.5,25,60.1,17,22,1.9,2,34.9,30.9,3663,"0"
51,"Female","France",0.7,26,45.3,19,51,7.7,3,50.6,31.7,3509,"0"
36,"Female","Canada",3.1,3,66,11,5,1.9,0,22.1,9.7,1896,"1"
36,"Female","USA",1.8,6,56.9,9.1,7,13.8,3,4.4,18.6,1896,"0"
51,"Male","UK",1.5,14,45.1,27.3,35,12.9,2,27.6,27.2,1896,"0"
57,"Female","Japan",2.5,23,45.7,12,14,5.4,5,27.6,19.7,3109,"0"
53,"Female","Canada",2.7,10,45.2,17,73,5.4,3,39.1,21.5,3511,"0"
25,"Female","India",1.7,17,36.7,19,57,5,9,53.2,31.3,3250,"0"
37,"Male","Australia",6.3,37,28.2,23,17,5.4,7,44.6,35,1199,"0"
41,"Female","USA",6.5,9,69.4,11,28,4.4,1,24.7,5.6,2254,"0"
34,"Male","UK",1.1,6,45.8,14,5,11.8,3,42.5,10.5,1420,"0"
42,"Female","Canada",2.7,8,61,10,24,5.3,5,12.4,12.3,2030,"0"
47,"Male","Germany",1.6,5,75.4,3.9,45,1.2,1,0,16.3,0,"1"
50,"Male","USA",4.3,16,71.3,20.8,56,2.5,5,18.9,21.8,2057,"0"
58,"Male","USA",2.2,14,51,16,5,2.9,0,32.7,23.7,1057,"0"
38,"Male","USA",4.6,17,50.1,18,18,8.8,5,25.9,19,2685,"0"
21,"Male","Canada",2.8,7,78.4,5,0,5.4,2,0,11.1,974,"1"
42,"Female","UK",4.6,16,60.9,5,21,7.6,1,19.8,13.3,2535,"0"
60,"Male","UK",5.8,0,71.1,5,29,1,0,0,3.9,164,"1"
32,"Female","Australia",3.9,1,78.5,2,24,7.1,0,27.6,9.7,0,"1"
46,"Female","UK",0.6,18,55.5,14,34,9.5,6,47.6,25,1896,"0"
46,"Male","Japan",1.8,8,49.2,13,20,5.9,4,52.3,27.8,2315,"0"
40,"Male","USA",5.3,12,33.2,22.1,77,13.4,3,27.6,32.8,2103,"1"
38,"Male","USA",1.7,8,83.7,15,32,2.4,3,50.4,12.7,1289,"0"
26,"Male","USA",1.7,18,27.8,16,16,3.5,3,21.7,31.2,3475,"0"
38,"Male","USA",3,4,46.2,4,21,3.6,2,15.1,11.5,540,"0"
24,"Male","USA",6.7,1,66.4,2.6,30,5.8,4,18.5,10.7,159,"0"
33,"Male","Canada",0.1,0,71.4,9.1,2,6.9,1,21.5,14.5,2154,"0"
51,"Male","USA",8.6,2,53.2,9,9,1.8,1,49.5,9.1,1350,"0"
36,"Female","Australia",0.8,17,27.4,19,14,0.7,4,34.7,22.1,3954,"0"
38,"Male","UK",0.8,10,68.6,9,87,10.8,0,8.5,10.2,772,"1"
27,"Female","UK",0.2,25,6.3,18,38,2.4,4,27.6,38.9,5485,"0"
45,"Female","USA",4.4,14,71.7,5,40,5.4,2,27.6,8.8,1381,"1"
54,"Female","USA",2.4,0,79.4,11.7,19,15.6,0,0,13,2191,"1"
50,"Female","USA",4.8,5,87.1,9.1,58,13.7,0,0,0.5,1514,"1"
45,"Female","USA",10,23,40.9,16,1,22.2,0,33.6,15.2,2791,"1"
20,"Male","Germany",0.4,24,19.5,31.2,24,12.4,9,84.7,33.4,2951,"1"
33,"Female","UK",1.2,4,59,18,40,5.8,2,15.3,18.6,1906,"0"
61,"Female","USA",1.3,6,53.1,12,39,3.6,3,43.8,9.8,1463,"0"
51,"Female","USA",1.8,12,71,5,21,1.3,2,58.2,8.8,1896,"0"
19,"Female","Australia",2.1,0,76.4,10.4,2,1.4,1,0,5.7,2863,"0"
37,"Female","UK",2.9,7,64.4,5.2,11,8.9,0,0,10,0,"0"
42,"Female","Canada",5.4,10,46.3,18,14,0.4,2,23.9,27.2,2888,"1"
28,"Female","UK",0.7,4,42.2,10,30,3,1,27.6,12.8,2254,"0"
18,"Female","Japan",4,9,32.6,15,13,2,1,27.6,32.7,1687,"1"
39,"Female","USA",1,20,18.7,22,75,4.6,7,15.4,30.9,4806,"0"
28,"Female","Germany",5.9,24,31.7,16,31,17.9,5,58.5,38.6,4104,"0"
28,"Female","Canada",7.5,17,56.8,26,58,2.4,1,27.6,28.6,3023,"0"
33,"Female","Canada",3.9,6,23.5,13,23,0.8,5,35.9,18,3343,"0"
36,"Female","Australia",2.4,6,44.6,14.3,12,3,1,15.4,19.7,2920,"0"
37,"Male","USA",5.8,0,70.5,2,9,0.7,0,0,7.7,0,"0"
27,"Male","Australia",0.6,14,75.1,9,3,7.5,2,20.3,23.4,3020,"0"
35,"Male","USA",2.7,0,76.8,5,93,5.1,2,27.6,0,141,"1"
38,"Female","Germany",6.2,0,64.6,8,35,6.3,3,36.1,22.2,141,"0"
41,"Male","USA",2.5,15,54.9,15,54,2.3,1,13,24.6,2782,"0"
18,"Male","Germany",0.7,23,30.9,19,5,4.8,2,54.1,39.1,4705,"1"
34,"Male","USA",1.9,1,68.6,11.7,16,10,2,36.5,25.4,651,"0"
49,"Male","Germany",5.2,0,63.3,6,25,5,2,0,10.6,1896,"0"
25,"Female","USA",4.3,22,57.3,10,21,1.9,5,19.8,15.6,3092,"0"
46,"Male","Germany",1.8,8,79.2,6,19,6.8,0,0,1,552,"1"
51,"Female","Canada",7.3,20,43.6,14,3,22.1,5,27.6,22.5,4931,"0"
18,"Male","USA",2.4,6,85.2,3.9,4,5.8,0,46.7,10.2,1376,"0"
36,"Male","Canada",4.2,8,61,9,15,5,2,43.3,18.1,0,"0"
18,"Male","USA",4.2,22,30.8,29.9,2,12.7,6,62.7,34.9,1896,"0"
36,"Male","Japan",0.3,21,38.9,22,70,9.9,5,52.1,18.6,1896,"0"
37,"Female","Canada",3.9,0,64.5,6,53,5.4,2,16.1,14.7,1896,"0"
18,"Female","Canada",1.3,3,61.5,18,44,4.6,0,36.7,26.8,1896,"1"
61,"Male","India",2.6,14,38.2,12,103,6.7,1,27.6,18.6,1484,"0"
41,"Male","USA",1.6,10,80,6,8,7.1,4,27.6,3.8,0,"1"
27,"Female","USA",1.5,16,63.2,11,35,2.5,8,15.4,12.7,1749,"0"
55,"Female","Germany",1.3,5,60.1,7,102,7.7,1,29.7,4.9,1391,"1"
18,"Male","India",10,10,58.9,9,40,10,2,30.5,27.3,1027,"0"
23,"Male","Germany",1.9,25,13.2,31.2,15,17.3,11,27.6,41.8,4397,"1"
18,"Male","USA",4.6,21,48,16,16,6.7,7,38.1,40.3,2201,"0"
59,"Female","Australia",2.4,15,65.3,6,1,13.3,0,9.9,12.9,1340,"0"
41,"Male","USA",2.3,26,32.8,16,60,5.4,5,49.5,39.1,3705,"0"
45,"Female","Australia",2.2,12,61,10,41,3.9,1,30,23.1,401,"0"
41,"Female","Japan",1.8,15,39.9,9,7,2.3,5,36.2,22.4,1896,"0"
44,"Male","Germany",1.6,15,55.4,19,50,13.8,0,33.8,31.1,1164,"0"
38,"Female","USA",2.2,10,66.4,5,37,6.6,1,4.2,15.6,0,"1"
41,"Female","USA",3.1,4,77.6,15,12,5.2,0,1.2,12.7,832,"0"
39,"Female","Germany",2.4,14,73,14.3,50,6.8,1,0,4.9,2345,"1"
30,"Female","USA",4,17,67.1,14,7,1.6,4,27.6,11.7,984,"0"
38,"Male","Germany",3.5,19,69.1,14,84,8.8,1,24.6,23.7,4488,"0"
41,"Female","USA",0.9,11,66.3,6,15,5.4,2,1.6,18.6,1505,"0"
39,"Male","USA",1.2,19,57,18,63,5.7,4,39.5,21.1,2486,"1"
20,"Male","Germany",2,13,27.7,26,21,14.4,1,13.3,24.6,1223,"0"
21,"Female","Canada",2.5,11,48.3,16,46,2.4,2,54.9,31.9,4028,"0"
50,"Female","Canada",2.9,11,64.9,9.1,28,2.1,1,0,6.9,0,"0"
34,"Female","USA",1.4,10,66.2,15,21,0.5,2,27.6,16.8,2354,"0"
45,"Female","India",1.5,9,66.5,10,25,7.6,0,0,9.9,747,"1"
24,"Male","USA",2.2,12,42.8,10,25,4,2,41.1,19.1,1896,"1"
20,"Male","USA",1.3,0,71.8,3,13,2,1,1.6,12.7,383,"1"
27,"Female","UK",5.3,12,59.3,19.5,5,9.9,3,29.8,26.9,212,"0"
35,"Male","UK",2.2,12,92.8,12,8,2.4,2,27.6,21,206,"1"
30,"Male","USA",1.3,6,51.8,9,11,5.4,2,0,16.7,2291,"0"
53,"Male","Japan",9.5,27,26.4,19,4,16.2,5,51.6,38.9,3258,"0"
40,"Female","Japan",1.6,7,71.6,11.7,3,13.5,6,35.5,14.3,1112,"0"
38,"Male","France",1.9,13,53.2,8,81,7.8,3,31.4,18.6,1472,"0"
42,"Female","USA",1.9,19,47.5,20,21,1.3,5,47.4,33.4,2314,"0"
18,"Male","USA",4.8,7,69.1,9,16,5.2,3,24.7,15.9,778,"0"
50,"Female","India",4,2,68.2,6,1,20.4,2,21.9,0,1867,"0"
19,"Female","USA",3.8,5,45.7,14,23,8.4,4,18.8,18.6,1672,"1"
40,"Female","USA",2.2,3,97.4,2,21,4.4,0,13.8,3.2,1896,"1"
28,"Male","USA",9.8,16,64,12,38,5.4,5,60.6,21.3,1659,"1"
63,"Male","Japan",1.8,13,63.3,8,30,11.5,3,24.7,17.3,2913,"0"
55,"Male","USA",3.9,6,56.3,9,2,2.1,2,27.6,18.6,0,"0"
29,"Female","Germany",3.1,12,40.2,15,59,5.4,5,27.6,20.2,1392,"0"
36,"Female","Australia",6.3,3,62.3,5,33,4,1,24.7,11.8,1896,"0"
40,"Male","USA",4,9,53.8,15,6,5.4,2,27.9,17.9,3414,"0"
48,"Female","USA",6.5,8,81.3,2,4,6,1,28.6,4.6,1146,"0"
38,"Female","USA",1.9,0,71.4,10,22,7.9,2,10.1,12.9,1204,"1"
25,"Male","Canada",3.9,8,54.5,14,74,8.9,4,61.1,12.9,1691,"1"
29,"Female","USA",2.6,8,59.4,7.8,32,5.4,2,27.6,18.6,1995,"0"
37,"Male","Canada",0.5,12,40.7,13,22,4.4,6,27.9,26.1,2554,"0"
52,"Male","USA",1.1,11,61.6,10,44,5.4,2,27.6,15.9,1533,"1"
43,"Male","France",2.5,0,90.8,5,24,5.9,1,27.6,5.5,573,"1"
28,"Female","UK",2.7,19,66.1,12,0,12.6,4,27.6,19.4,3357,"0"
45,"Male","USA",1.9,23,46.7,17,68,3.7,5,42.1,17.4,1896,"0"
33,"Male","France",0.9,0,92.6,11.7,23,6.3,0,22,18.6,309,"1"
48,"Female","USA",2.8,17,48.4,22.1,5,0.6,1,31.6,27,2457,"0"
68,"Female","Canada",1.3,7,55.2,14,13,1.7,3,31.7,19.4,1642,"0"
33,"Female","USA",2,14,49,13,0,13.8,5,29.6,24.6,2323,"1"
47,"Female","USA",8.4,24,18.4,25,41,7.8,9,27.6,42.1,5144,"1"
29,"Male","USA",0.4,19,33.3,19,45,1.9,2,53.1,38.1,2089,"0"
36,"Female","USA",2.1,14,44.9,17,35,1.8,8,27.6,23,1958,"0"
38,"Female","Japan",6.3,9,83.8,14.3,37,8,1,21,3.1,1885,"1"
35,"Female","UK",1.4,17,53.9,15,12,6.7,0,30.3,10.6,1896,"0"
67,"Female","USA",1.6,15,47.4,22.1,85,3.4,6,46.5,23.9,1597,"1"
34,"Female","Japan",0.9,16,50.2,11,29,11.6,3,17.4,24.8,2506,"0"
45,"Female","USA",1.2,12,51.9,13,35,16.3,1,27.6,11.4,2324,"1"
18,"Male","France",7.5,11,78.1,5,6,5.4,1,6.5,9.4,599,"0"
43,"Male","India",2.2,33,19.1,25,7,9.8,11,70.6,44.1,1896,"0"
51,"Male","UK",1.5,20,32.9,16,22,16.3,5,30.4,28,3175,"0"
31,"Female","Germany",1.5,16,50.7,18,16,1.5,6,36.3,25.7,3904,"0"
18,"Female","USA",3.3,11,56.2,16.9,7,8.6,2,39.2,21.6,3303,"0"
38,"Male","UK",1.6,19,45.5,15,42,11.2,1,37.3,29.6,4968,"1"
38,"Male","India",2.7,5,69.5,9,10,10.7,2,0,9.9,443,"0"
46,"Female","Australia",0.6,8,64.5,19.5,9,5.2,0,32.2,14.7,1896,"0"
62,"Male","USA",5.9,20,43.1,13,18,4.4,4,48.5,25.7,1852,"0"
33,"Male","USA",0.9,5,83.3,7,13,4.7,5,11.3,22.8,1360,"0"
27,"Male","Canada",6.2,6,63.2,10.4,22,1.4,0,20.3,6.3,971,"0"
23,"Female","USA",1.3,18,74.1,24,45,5.4,4,53.8,25.7,3659,"0"
40,"Male","Australia",1.9,9,39.7,10.4,1,10.2,0,19,25.7,2091,"0"
43,"Male","UK",1.3,0,60.7,8,67,2.4,2,0,17.3,1709,"1"
31,"Female","UK",5.4,4,76.2,7.8,6,5.4,1,21.4,14.1,3103,"0"
47,"Male","USA",4.1,16,50.9,12,69,3.2,0,44.4,21.7,3018,"0"
43,"Male","Canada",8.6,10,84.4,0,16,7.6,3,7.4,18.4,1019,"0"
38,"Female","Australia",2.3,13,32.4,9,36,0.9,1,29.4,18.6,1436,"0"
27,"Other","UK",2.9,15,56.4,7,98,15.2,2,0,18.5,3908,"0"
32,"Male","USA",2.5,2,62.5,14,23,24.4,3,27.6,14.4,1890,"0"
18,"Male","Canada",2.3,6,65.7,7,3,4,0,26.1,18.6,1512,"1"
40,"Male","USA",2,8,72.7,8,15,5.4,1,25.2,7,1889,"0"
38,"Male","Canada",4.3,14,58.7,9,31,8.3,2,12.1,18.7,784,"1"
40,"Male","USA",3.1,20,26.6,20,31,1.4,5,71.7,36.6,4383,"0"
44,"Male","USA",2.5,0,90.7,2,16,9,0,0,5.6,1896,"1"
42,"Male","France",1.3,1,75.6,15.6,24,2.3,1,5.3,2.5,220,"1"
36,"Female","UK",3.4,12,55.5,22.1,29,2.6,2,29.4,26.1,478,"1"
38,"Male","UK",5.6,8,74.3,8,41,3.5,4,13.5,18.6,166,"0"
21,"Female","Japan",2.3,29,43.9,20,21,2.4,4,38.7,30.6,3274,"0"
30,"Female","USA",6.2,1,50.2,14.3,21,5.4,1,27.6,8.3,1896,"0"
38,"Female","India",3.3,9,76.2,14.3,9,7.8,0,23.8,4.5,1015,"0"
29,"Male","Australia",1,9,54.9,9,8,10.9,4,18.7,14.2,1293,"0"
48,"Male","Canada",0.7,5,60.9,9,70,2.1,4,5.7,8.1,3138,"0"
30,"Female","UK",1.6,4,61.8,10,36,4.6,6,11.1,11.8,0,"0"
40,"Female","USA",3.2,16,62.8,14,19,0.9,3,37.5,25,2771,"0"
39,"Female","UK",1.1,10,85.3,7,7,5.4,5,27.6,19.8,161,"0"
46,"Female","Canada",0.3,5,68.7,13,17,7,0,23.5,19.4,4000,"0"
48,"Female","UK",3.9,5,81.2,4,0,5.4,0,8.3,4.4,464,"1"
46,"Male","India",3.5,19,41.7,20,12,0.5,6,52.9,42.6,4268,"0"
18,"Male","USA",1.3,6,62.8,6,19,10.6,0,18.1,8.9,539,"0"
52,"Female","USA",2.6,18,28.8,21,36,7.8,4,49.1,28.2,2631,"0"
56,"Male","India",0.6,17,45.9,16,16,8,4,29,24.6,2869,"0"
32,"Male","USA",3.3,1,68.5,10,23,9,4,39,19.2,1538,"0"
40,"Male","UK",5.1,12,64.9,7.8,1,10.9,1,0,8.2,648,"0"
27,"Female","France",0.5,6,61.8,12,21,4.9,3,51.2,18.6,1145,"0"
18,"Female","USA",0.5,3,81.8,11.7,23,5.8,1,27.6,12.1,94,"1"
29,"Female","Australia",3.7,3,61.5,5,17,4.8,2,0,11.1,1293,"0"
31,"Male","USA",5.9,17,48.6,10,34,2.7,2,11.8,14.2,1958,"0"
33,"Male","Japan",7.7,8,69,7,6,5.8,4,27.6,18.4,3739,"0"
26,"Male","Germany",3.2,7,70.3,8,16,8.1,0,27.6,18.4,1846,"1"
29,"Female","USA",1.3,12,74.6,9,21,5.4,1,38.3,10.6,2152,"0"
38,"Male","USA",6.4,11,76.4,10,9,4.5,2,21.6,18.6,1995,"0"
28,"Female","Canada",2.8,20,25.6,23,80,7.6,4,27.6,34.1,1896,"0"
44,"Female","Canada",0.5,16,47.7,17,52,2.4,2,36.2,18.6,2586,"0"
46,"Female","UK",0.7,27,62.8,14,2,5.7,6,42.1,32.5,3253,"1"
66,"Female","India",3.8,8,38.3,18.2,23,12.1,1,14.4,20.6,1669,"0"
51,"Female","USA",5.4,8,59.4,21,89,3.1,2,27.6,17.4,1935,"0"
